date,action,symbol,quantity,price
2025-09-01,BUY,SPY,100,420.00
2025-09-01,SELL,SPY,100,422.50
2025-09-01,BUY,QQQ,50,380.00
2025-09-01,SELL,QQQ,50,378.00
2025-09-01,BUY,TSLA,20,250.00
2025-09-01,SELL,TSLA,20,248.50
2025-09-01,BUY,NVDA,15,450.00
2025-09-01,SELL,NVDA,15,447.00
2025-09-02,BUY,AAPL,30,180.00
2025-09-02,SELL,AAPL,30,181.00
2025-09-02,BUY,MSFT,25,300.00
2025-09-02,SELL,MSFT,25,301.50
2025-09-03,BUY,GOOGL,25,135.00
2025-09-03,SELL,GOOGL,25,136.20
2025-09-03,BUY,META,20,320.00
2025-09-03,SELL,META,20,318.50
2025-09-04,BUY,AMD,35,110.00
2025-09-04,SELL,AMD,35,111.50
2025-09-04,BUY,CRM,15,240.00
2025-09-04,SELL,CRM,15,238.80
2025-09-05,BUY,NFLX,10,380.00
2025-09-05,SELL,NFLX,10,382.50
2025-09-05,BUY,DIS,40,95.00
2025-09-05,SELL,DIS,40,94.20
2025-09-06,BUY,BABA,50,85.00
2025-09-06,SELL,BABA,50,86.10
2025-09-06,BUY,JD,60,30.00
2025-09-06,SELL,JD,60,29.50
2025-09-09,BUY,PDD,25,120.00
2025-09-09,SELL,PDD,25,121.80
2025-09-09,BUY,SHOP,20,65.00
2025-09-09,SELL,SHOP,20,64.40
2025-09-10,BUY,SQ,30,55.00
2025-09-10,SELL,SQ,30,55.80
2025-09-10,BUY,PYPL,40,58.00
2025-09-10,SELL,PYPL,40,57.20
2025-09-11,BUY,V,20,230.00
2025-09-11,SELL,V,20,232.10
2025-09-11,BUY,MA,18,350.00
2025-09-11,SELL,MA,18,351.40
2025-09-12,BUY,UBER,45,42.00
2025-09-12,SELL,UBER,45,41.30
2025-09-12,BUY,LYFT,60,12.00
2025-09-12,SELL,LYFT,60,12.20
2025-09-13,BUY,ABNB,15,130.00
2025-09-13,SELL,ABNB,15,131.60
2025-09-13,BUY,EXPE,25,110.00
2025-09-13,SELL,EXPE,25,109.20
2025-09-16,BUY,ZM,30,70.00
2025-09-16,SELL,ZM,30,70.90
2025-09-16,BUY,DOCU,35,48.00
2025-09-16,SELL,DOCU,35,47.40
2025-09-17,BUY,ROKU,40,62.00
2025-09-17,SELL,ROKU,40,63.20
2025-09-17,BUY,SNAP,80,10.00
2025-09-17,SELL,SNAP,80,9.85
2025-09-18,BUY,TWTR,100,45.00
2025-09-18,SELL,TWTR,100,45.60
2025-09-18,BUY,PINS,50,25.00
2025-09-18,SELL,PINS,50,24.70
2025-09-19,BUY,SPOT,25,180.00
2025-09-19,SELL,SPOT,25,181.20
2025-09-19,BUY,TTD,20,75.00
2025-09-19,SELL,TTD,20,74.30
2025-09-20,BUY,CRWD,15,155.00
2025-09-20,SELL,CRWD,15,156.80
2025-09-20,BUY,ZS,25,120.00
2025-09-20,SELL,ZS,25,119.20
