Date,Action,Symbol,Quantity,Price
2024-01-03,BUY,QQQ,100,380.25
2024-01-05,SELL,QQQ,100,385.60
2024-01-08,BUY,NVDA,50,480.30
2024-01-10,SELL,NVDA,50,495.80
2024-01-12,BUY,MSFT,80,375.20
2024-01-16,SELL,MSFT,80,381.45
2024-01-18,BUY,AAPL,120,185.50
2024-01-22,SELL,AAPL,120,188.20
2024-01-24,BUY,TSLA,40,208.75
2024-01-26,SELL,TSLA,40,212.60
2024-01-29,BUY,GOOGL,25,140.80
2024-01-31,SELL,GOOGL,25,142.15
2024-02-02,BUY,AMD,80,150.25
2024-02-05,SELL,AMD,80,153.40
2024-02-07,BUY,META,30,380.90
2024-02-09,SELL,META,30,385.20
2024-02-12,BUY,NFLX,20,425.30
2024-02-14,SELL,NFLX,20,431.75
2024-02-16,BUY,CRM,40,245.80
2024-02-20,SELL,CRM,40,249.60
